StreamName,MaxE2E(us),Deadline(us),Path
Stream_160,2772.6,6706,ES_80->Switch_27->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->ES_18
Stream_161,4505.8,15797,ES_81->Switch_27->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->ES_28
Stream_162,332.3,2614,ES_81->Switch_27->ES_80
Stream_163,1548.0,8298,ES_82->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->ES_95
Stream_164,401.7,5056,ES_82->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->ES_3
Stream_165,1814.4,1477,ES_83->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->ES_64
Stream_166,777.8,6058,ES_83->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->ES_67
Stream_167,647.8,9887,ES_84->Switch_28->Switch_27->ES_79
Stream_168,3315.1,14659,ES_84->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->ES_48
Stream_169,298.0,4032,ES_85->Switch_29->Switch_30->Switch_31->ES_93
Stream_170,3207.5,16558,ES_85->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->ES_12
Stream_171,3684.5,10362,ES_86->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->ES_46
Stream_172,3860.0,15017,ES_86->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->ES_27
Stream_173,532.5,16951,ES_87->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->ES_64
Stream_174,4481.5,16158,ES_87->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->ES_21
Stream_175,2357.6,17046,ES_88->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->ES_60
Stream_176,3259.1,6873,ES_88->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->ES_57
Stream_177,839.0,1377,ES_89->Switch_30->Switch_29->ES_86
Stream_178,2360.6,16601,ES_89->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->ES_73
Stream_179,1483.9,3719,ES_90->Switch_30->Switch_29->Switch_28->Switch_27->ES_79
Stream_180,2434.7,11582,ES_90->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->ES_73
Stream_181,1079.2,10481,ES_91->Switch_31->Switch_32->Switch_1->ES_2
Stream_182,5502.3,19185,ES_91->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->ES_46
